Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Nap
2022-10-24 22:58:57,,UTC-04:00,2022-10-24 22:58:57,2022-10-25 06:30:17,82,16.1,404,451,239,60,105,47,495,11,89,false
2022-10-23 22:57:27,2022-10-24 22:58:57,UTC-04:00,2022-10-23 22:57:27,2022-10-24 08:04:26,96,14.9,519,547,224,106,189,28,542,74,95,false
2022-10-23 01:05:16,2022-10-23 22:57:27,UTC-04:00,2022-10-23 01:05:16,2022-10-23 08:53:54,75,15.3,434,469,169,99,166,35,576,97,92,false
2022-10-22 01:44:39,2022-10-23 01:05:16,UTC-04:00,2022-10-22 01:44:39,2022-10-22 08:29:50,58,15.9,372,402,213,74,85,30,638,116,92,false
2022-10-21 01:33:32,2022-10-22 01:44:39,UTC-04:00,2022-10-21 01:33:32,2022-10-21 06:29:37,50,15.4,278,296,117,49,112,18,555,83,95,false
2022-10-19 22:29:54,2022-10-21 01:33:32,UTC-04:00,2022-10-19 22:29:54,2022-10-20 05:29:59,72,15.4,401,420,193,87,121,19,558,90,96,false
2022-10-18 23:19:51,2022-10-19 22:29:54,UTC-04:00,2022-10-18 23:19:51,2022-10-19 05:29:57,61,15.2,358,370,174,79,105,12,587,88,96,false
2022-10-17 23:08:46,2022-10-18 23:19:51,UTC-04:00,2022-10-17 23:08:46,2022-10-18 05:35:42,62,15.2,339,386,164,82,93,47,543,53,87,false
2022-10-16 22:50:25,2022-10-17 23:08:46,UTC-04:00,2022-10-16 22:50:25,2022-10-17 06:07:20,82,15.4,411,436,187,86,138,25,503,35,94,false
2022-10-15 23:44:42,2022-10-16 22:50:25,UTC-04:00,2022-10-15 23:44:42,2022-10-16 08:34:52,88,16.2,475,530,198,109,168,55,540,65,92,false
2022-10-15 00:06:46,2022-10-15 23:44:42,UTC-04:00,2022-10-15 00:06:46,2022-10-15 08:30:01,78,15.7,457,503,174,105,178,46,588,102,90,false
2022-10-13 23:05:12,2022-10-15 00:06:46,UTC-04:00,2022-10-13 23:05:12,2022-10-14 05:29:43,56,16.2,321,384,159,72,90,63,578,99,85,false
2022-10-12 23:48:25,2022-10-13 23:05:12,UTC-04:00,2022-10-12 23:48:25,2022-10-13 05:29:41,57,15.1,321,341,148,76,97,20,567,92,95,false
2022-10-11 23:20:31,2022-10-12 23:48:25,UTC-04:00,2022-10-11 23:20:31,2022-10-12 05:29:39,60,15.6,344,369,202,74,68,25,569,99,94,false
2022-10-10 23:29:06,2022-10-11 23:20:31,UTC-04:00,2022-10-10 23:29:06,2022-10-11 05:33:55,57,15.6,344,360,162,87,95,16,599,85,95,false
2022-10-10 00:11:44,2022-10-10 23:29:06,UTC-04:00,2022-10-10 00:11:44,2022-10-10 05:40:59,63,15.6,311,329,143,58,110,18,493,20,95,false
2022-10-08 23:59:12,2022-10-10 00:11:44,UTC-04:00,2022-10-08 23:59:12,2022-10-09 09:26:23,93,15.6,441,565,212,118,111,124,475,5,78,false
2022-10-07 23:02:56,2022-10-08 23:59:12,UTC-04:00,2022-10-07 23:02:56,2022-10-08 09:28:16,98,16.1,570,622,307,115,148,52,584,109,91,false
2022-10-07 00:00:34,2022-10-07 23:02:56,UTC-04:00,2022-10-07 00:00:34,2022-10-07 05:29:49,53,15.3,297,328,128,73,96,31,566,67,93,false
2022-10-05 23:18:15,2022-10-07 00:00:34,UTC-04:00,2022-10-05 23:18:15,2022-10-06 06:29:52,71,15.0,391,432,200,81,110,41,548,81,92,false
2022-10-04 23:07:38,2022-10-05 23:18:15,UTC-04:00,2022-10-04 23:07:38,2022-10-05 05:33:36,65,15.6,357,385,203,76,78,28,553,60,94,false
2022-10-03 22:07:59,2022-10-04 23:07:38,UTC-04:00,2022-10-03 22:07:59,2022-10-04 05:42:41,74,15.8,425,455,208,89,128,30,575,85,93,false
2022-10-02 23:33:29,2022-10-03 22:07:59,UTC-04:00,2022-10-02 23:33:29,2022-10-03 05:29:39,63,15.4,319,355,129,89,101,36,507,29,89,false
2022-10-02 01:40:21,2022-10-02 23:33:29,UTC-04:00,2022-10-02 01:40:21,2022-10-02 09:44:22,90,14.7,420,484,233,88,99,64,467,0,86,false
2022-09-30 22:02:05,2022-10-02 01:40:21,UTC-04:00,2022-09-30 22:02:05,2022-10-01 08:19:15,100,15.2,579,617,248,141,190,38,545,68,93,false
2022-09-30 00:32:45,2022-09-30 22:02:05,UTC-04:00,2022-09-30 00:32:45,2022-09-30 06:58:14,77,15.0,357,385,205,62,90,28,465,59,92,false
2022-09-28 20:34:17,2022-09-30 00:32:45,UTC-04:00,2022-09-29 06:46:44,2022-09-29 08:14:41,14,15.4,72,88,50,10,12,16,524,59,84,true
2022-09-28 20:34:17,2022-09-30 00:32:45,UTC-04:00,2022-09-28 20:34:17,2022-09-29 04:00:26,80,14.7,419,446,169,106,144,26,524,56,94,false
2022-09-27 23:08:59,2022-09-28 20:34:17,UTC-04:00,2022-09-27 23:08:59,2022-09-28 07:27:56,81,14.6,425,498,202,74,149,73,528,59,85,false
2022-09-26 23:12:44,2022-09-27 23:08:59,UTC-04:00,2022-09-26 23:12:44,2022-09-27 06:58:00,80,15.3,413,464,182,106,125,51,517,35,89,false
2022-09-25 21:50:59,2022-09-26 23:12:44,UTC-04:00,2022-09-25 21:50:59,2022-09-26 06:31:32,88,15.2,484,520,184,105,195,36,549,81,93,false
2022-09-25 01:13:18,2022-09-25 21:50:59,UTC-04:00,2022-09-25 01:13:18,2022-09-25 08:32:08,65,15.3,364,438,152,84,128,74,562,83,84,false
2022-09-24 01:04:37,2022-09-25 01:13:18,UTC-04:00,2022-09-24 01:04:37,2022-09-24 08:29:42,72,16.3,419,445,174,107,138,26,580,92,94,false
2022-09-22 23:01:58,2022-09-24 01:04:37,UTC-04:00,2022-09-22 23:01:58,2022-09-23 05:28:25,60,15.7,363,384,153,71,139,21,605,104,95,false
2022-09-22 00:08:44,2022-09-22 23:01:58,UTC-04:00,2022-09-22 00:08:44,2022-09-22 05:37:31,55,14.8,305,326,118,75,112,21,553,85,94,false
2022-09-20 22:50:19,2022-09-22 00:08:44,UTC-04:00,2022-09-20 22:50:19,2022-09-21 05:29:47,63,15.3,360,399,188,69,103,39,568,71,90,false
2022-09-19 22:58:59,2022-09-20 22:50:19,UTC-04:00,2022-09-19 22:58:59,2022-09-20 05:32:39,69,14.9,364,394,188,87,89,30,527,47,92,false
2022-09-18 22:05:45,2022-09-19 22:58:59,UTC-04:00,2022-09-18 22:05:45,2022-09-19 06:06:24,84,15.2,390,481,247,77,66,91,467,0,83,false
2022-09-17 23:48:33,2022-09-18 22:05:45,UTC-04:00,2022-09-17 23:48:33,2022-09-18 09:15:16,100,16.0,519,566,272,115,132,47,515,47,91,false
2022-09-17 00:08:36,2022-09-17 23:48:33,UTC-04:00,2022-09-17 00:08:36,2022-09-17 09:05:01,84,15.1,503,536,224,101,178,33,598,88,93,false
2022-09-15 22:37:33,2022-09-17 00:08:36,UTC-04:00,2022-09-15 22:37:33,2022-09-16 05:29:57,62,15.6,364,412,154,84,126,48,585,98,88,false
2022-09-14 22:57:09,2022-09-15 22:37:33,UTC-04:00,2022-09-14 22:57:09,2022-09-15 06:04:57,67,14.8,393,427,205,59,129,34,591,123,92,false
2022-09-14 00:21:37,2022-09-14 22:57:09,UTC-04:00,2022-09-14 00:21:37,2022-09-14 05:29:43,47,16.0,284,308,162,46,76,24,602,85,93,false
2022-09-12 22:54:30,2022-09-14 00:21:37,UTC-04:00,2022-09-12 22:54:30,2022-09-13 05:29:36,63,15.4,367,395,196,67,104,28,582,97,94,false
2022-09-12 00:21:18,2022-09-12 22:54:30,UTC-04:00,2022-09-12 00:21:18,2022-09-12 05:29:53,58,15.3,295,308,188,42,65,13,506,38,96,false
2022-09-11 01:33:04,2022-09-12 00:21:18,UTC-04:00,2022-09-11 01:33:04,2022-09-11 08:29:19,87,15.9,383,416,175,114,94,33,437,47,92,false
2022-09-09 21:53:02,2022-09-11 01:33:04,UTC-04:00,2022-09-10 13:51:48,2022-09-10 15:13:02,15,15.4,76,81,22,25,29,5,513,47,94,true
2022-09-09 21:53:02,2022-09-11 01:33:04,UTC-04:00,2022-09-09 21:53:02,2022-09-10 06:57:08,84,16.0,495,544,261,109,125,49,591,101,91,false
2022-09-08 22:40:52,2022-09-09 21:53:02,UTC-04:00,2022-09-08 22:40:52,2022-09-09 05:29:26,66,15.3,387,408,184,83,120,21,586,89,95,false
2022-09-07 22:22:59,2022-09-08 22:40:52,UTC-04:00,2022-09-07 22:22:59,2022-09-08 05:37:30,70,15.0,407,432,190,90,127,25,583,99,94,false
2022-09-06 23:04:19,2022-09-07 22:22:59,UTC-04:00,2022-09-06 23:04:19,2022-09-07 05:29:19,57,16.1,346,384,165,86,95,38,608,90,90,false
2022-09-05 23:27:27,2022-09-06 23:04:19,UTC-04:00,2022-09-05 23:27:27,2022-09-06 05:29:23,61,14.6,340,362,183,63,94,22,556,88,93,false
2022-09-05 01:29:07,2022-09-05 23:27:27,UTC-04:00,2022-09-05 01:29:07,2022-09-05 08:07:06,62,15.8,363,398,118,98,147,35,584,86,91,false
2022-09-04 00:27:19,2022-09-05 01:29:07,UTC-04:00,2022-09-04 00:27:19,2022-09-04 07:49:03,71,15.0,404,442,182,97,125,38,566,97,91,false
2022-09-03 02:10:50,2022-09-04 00:27:19,UTC-04:00,2022-09-03 02:10:50,2022-09-03 08:29:35,58,15.8,340,379,102,100,138,39,589,92,91,false
2022-09-02 01:06:34,2022-09-03 02:10:50,UTC-04:00,2022-09-02 01:06:34,2022-09-02 06:59:51,60,15.2,326,353,150,72,104,27,545,74,93,false
2022-08-31 22:34:14,2022-09-02 01:06:34,UTC-04:00,2022-08-31 22:34:14,2022-09-01 05:34:38,68,15.3,367,420,247,73,47,53,542,74,88,false
2022-08-30 22:49:34,2022-08-31 22:34:14,UTC-04:00,2022-08-30 22:49:34,2022-08-31 05:29:57,68,15.3,370,400,117,106,147,30,545,71,92,false
2022-08-29 21:32:37,2022-08-30 22:49:34,UTC-04:00,2022-08-29 21:32:37,2022-08-30 05:29:50,76,15.3,433,476,229,83,121,43,572,102,90,false
2022-08-28 23:31:50,2022-08-29 21:32:37,UTC-04:00,2022-08-28 23:31:50,2022-08-29 04:38:30,56,15.0,281,306,136,69,76,25,500,32,92,false
2022-08-28 01:03:07,2022-08-28 23:31:50,UTC-04:00,2022-08-28 01:03:07,2022-08-28 09:13:35,89,15.8,449,490,200,102,147,41,503,32,92,false
2022-08-27 00:35:10,2022-08-28 01:03:07,UTC-04:00,2022-08-27 00:35:10,2022-08-27 09:02:45,89,16.1,475,504,253,133,89,29,532,53,94,false
2022-08-25 22:31:11,2022-08-27 00:35:10,UTC-04:00,2022-08-25 22:31:11,2022-08-26 05:29:37,77,15.5,394,418,180,81,133,24,511,0,94,false
